,Unnamed: 0,City,Latitude,Longitude,Wind Speed,Country,Humidity,Cloudiness,Temperature - F,Max Temperature - F
0,0,broken hill,-31.95,141.4333,3.6,AU,16,0,95.0,95.0
1,1,sao filipe,14.8961,-24.4956,3.34,CV,75,44,70.23200000000001,70.23200000000001
2,2,portland,45.5234,-122.6762,1.54,US,69,1,33.548000000000016,35.996000000000045
3,3,kaitangata,-46.2817,169.8464,1.79,NZ,66,100,60.008,60.008
4,4,avarua,-21.2078,-159.775,2.06,CK,78,20,82.4,82.4
5,5,rikitea,-23.1203,-134.9692,4.29,PF,73,73,78.72800000000007,78.72800000000007
6,6,laja,-37.2667,-72.7,4.12,CL,94,90,59.0,59.0
7,7,oksfjord,70.2396,22.3479,3.6,NO,93,75,21.272000000000038,23.0
8,8,ushuaia,-54.8,-68.3,1.54,AR,72,0,62.6,62.6
9,9,talcahuano,-36.7167,-73.1167,4.12,CL,94,90,59.0,59.0
10,10,mataura,-46.1927,168.8643,3.27,NZ,70,100,58.2260000000001,58.2260000000001
11,11,carnarvon,-24.8667,113.6333,10.29,AU,78,0,82.4,82.4
12,12,northam,51.0333,-4.2167,6.26,GB,79,47,30.560000000000077,32.0
13,13,butaritari,3.0707,172.7902,8.37,KI,79,67,81.91400000000003,81.91400000000003
14,14,puerto ayora,-0.7393,-90.3518,2.16,EC,95,69,77.0,77.0
15,15,pietersburg,-23.9045,29.4688,1.54,ZA,82,20,66.2,66.2
16,16,cherskiy,68.75,161.3,0.72,RU,86,0,-6.609999999999977,-6.609999999999977
17,17,aksarka,66.5606,67.7975,0.23,RU,87,100,-19.26399999999999,-19.26399999999999
18,18,flinders,-34.5833,150.8552,0.89,AU,66,52,72.19400000000007,73.00400000000005
19,19,vaini,-21.2,-175.2,8.96,TO,86,100,79.57400000000001,79.57400000000001
20,20,jamestown,42.097,-79.2353,2.57,US,86,90,15.8,15.8
21,21,mercedes,-34.6515,-59.4307,1.34,AR,77,0,63.01400000000003,64.00400000000005
22,22,nikolskoye,59.7035,30.7861,1.0,RU,77,14,-3.5139999999999816,1.0040000000000546
23,23,katherine,-14.4667,132.2667,3.09,AU,52,40,91.4,91.4
24,24,aklavik,68.2191,-135.0107,0.51,CA,67,0,-34.599999999999945,-34.599999999999945
25,25,hermanus,-34.4187,19.2345,2.68,ZA,81,90,69.99800000000002,69.99800000000002
26,26,sembe,1.6481,14.5806,0.8,CG,86,62,71.708,71.708
27,27,new norfolk,-42.7826,147.0587,0.89,AU,32,0,69.89000000000001,71.99600000000005
28,28,haines junction,60.7522,-137.5108,0.51,CA,67,25,-36.39999999999995,-36.39999999999995
29,29,punta arenas,-53.15,-70.9167,2.57,CL,76,75,55.202000000000076,55.4
30,30,georgetown,5.4112,100.3354,4.12,MY,70,20,88.05200000000008,89.6
31,31,bambous virieux,-20.3428,57.7575,3.6,MU,74,75,83.62400000000002,84.99199999999998
32,32,srivardhan,18.0333,73.0167,1.64,IN,18,7,87.60200000000006,87.60200000000006
33,33,tsumeb,-19.2333,17.7167,3.6,,94,100,64.4,64.4
34,34,dom pedro,-4.4833,-44.45,0.73,BR,97,100,70.77200000000003,70.77200000000003
35,35,atuona,-9.8,-139.0333,9.05,PF,77,86,79.25,79.25
36,36,kawalu,-7.3817,108.2082,1.59,ID,74,67,83.19200000000001,83.19200000000001
37,37,upernavik,72.7868,-56.1549,1.11,GL,75,0,9.662000000000058,9.662000000000058
38,38,barrow,71.2906,-156.7887,8.23,US,69,1,-20.199999999999953,-20.199999999999953
39,39,chuy,-33.6971,-53.4616,2.42,UY,90,0,66.32600000000009,66.32600000000009
40,40,drayton valley,53.2168,-114.9854,4.16,CA,82,14,-23.06199999999995,-23.06199999999995
41,41,saint-philippe,-21.3585,55.7679,5.14,RE,58,0,81.28399999999998,86.0
42,42,saint anthony,45.0205,-93.21799999999999,1.52,US,65,1,-0.4359999999999644,1.3999999999999986
43,43,bredasdorp,-34.5322,20.0403,1.03,ZA,94,71,57.2,57.2
44,44,hilo,19.7297,-155.09,4.63,US,68,90,66.11000000000007,71.6
45,45,castro,-24.7911,-50.0119,2.78,BR,97,98,56.444000000000074,56.444000000000074
46,46,ewa beach,21.3156,-158.0072,3.6,US,52,1,68.50400000000005,69.8
47,47,tasiilaq,65.6145,-37.6368,1.54,GL,73,75,12.2,12.2
48,48,cape town,-33.9258,18.4232,5.14,ZA,88,0,68.86400000000003,71.99600000000005
49,49,mahebourg,-20.4081,57.7,3.6,MU,74,75,82.4,82.4
50,50,honningsvag,70.9821,25.9704,9.77,NO,93,75,23.0,23.0
51,51,pisco,-13.7,-76.2167,2.06,PE,83,0,70.484,71.6
52,52,hanzhong,33.0728,107.0303,1.74,CN,34,0,63.8600000000001,63.8600000000001
53,53,lom sak,16.7798,101.2422,2.06,TH,42,20,89.18600000000006,93.992
54,54,hobart,-42.8794,147.3294,5.66,AU,42,20,70.89800000000002,75.00200000000008
55,55,bluff,-46.6,168.3333,13.43,NZ,76,100,56.89400000000008,56.89400000000008
56,56,angoche,-16.2325,39.9086,2.83,MZ,80,100,81.69800000000002,81.69800000000002
57,57,husavik,66.0449,-17.3389,2.06,IS,93,90,23.0,23.0
58,58,nemuro,43.3236,145.575,3.6,JP,46,20,28.4,28.4
59,59,buchanan,5.8808,-10.0467,2.34,LR,87,89,79.2680000000001,79.2680000000001
60,60,port alfred,-33.5906,26.891,0.45,ZA,94,6,71.00600000000003,71.00600000000003
61,61,ketchikan,55.3422,-131.6461,3.54,US,61,1,12.541999999999994,15.8
62,62,tiznit,29.5833,-9.5,1.09,MA,88,84,52.89800000000002,52.89800000000002
63,63,harper,4.375,-7.7169,2.68,LR,89,99,79.34000000000002,79.34000000000002
64,64,cootehill,54.0725,-7.0819,1.79,IE,84,31,32.0,32.0
65,65,fare,-16.7,-151.0167,6.25,PF,70,0,82.36400000000003,82.36400000000003
66,66,ahipara,-35.1667,173.1667,3.81,NZ,93,100,65.066,65.066
67,67,kapaa,22.0752,-159.319,4.63,US,60,90,66.29000000000002,68.0
68,68,golden,39.7555,-105.2211,0.08,US,73,40,26.07800000000007,28.00400000000005
69,69,veroli,41.6911,13.4177,1.67,IT,93,100,48.452000000000076,53.00600000000003
70,70,springbok,-29.6643,17.8865,3.05,ZA,24,0,80.0600000000001,80.0600000000001
71,71,harlingen,26.1906,-97.6961,4.12,US,100,90,72.1760000000001,73.00400000000005
72,72,east london,-33.0153,27.9116,1.54,ZA,94,75,71.6,71.6
73,73,yellowknife,62.456,-114.3525,5.66,CA,77,90,-10.695999999999948,-9.993999999999973
74,74,pacific grove,36.6177,-121.9166,1.54,US,87,40,51.548000000000016,53.00600000000003
75,75,touros,-5.1989,-35.4608,2.06,BR,88,0,77.0,77.0
76,76,bukachacha,52.9833,116.9167,2.35,RU,92,100,18.77000000000006,18.77000000000006
77,77,nome,64.5011,-165.4064,4.12,US,45,1,-3.9999999999999503,-3.9999999999999503
78,78,dikson,73.5069,80.5464,4.65,RU,88,100,-24.015999999999966,-24.015999999999966
79,79,tuktoyaktuk,69.4541,-133.0374,3.6,CA,67,1,-36.39999999999995,-36.39999999999995
80,80,yenagoa,4.9247,6.2642,0.8,NG,92,98,76.71200000000006,76.71200000000006
81,81,tromso,69.6496,18.957,3.09,NO,86,90,22.460000000000086,23.0
82,82,praia,14.9215,-23.5087,7.72,CV,83,0,68.0,68.0
83,83,muroto,33.2833,134.15,2.57,JP,32,75,53.6,53.6
84,84,lao cai,22.4833,103.95,0.8,VN,42,6,76.73000000000005,76.73000000000005
85,85,arraial do cabo,-22.9661,-42.0278,1.71,BR,87,8,72.158,72.158
